player,age,pos,team,g,mp,ws,vorp,salary,salary_m,ws_per_m
Isaiah Joe,26,SG,OKC,71,1507,5.5,1.7,12362338,12.362338,0.44489966218364196
Jock Landale,30,C,2TM,68,1506,3.8,0.7,2296274,2.296274,1.6548547777834874
Zaccharie Risacher,20,SF,ATL,67,1503,2.3,-0.2,13197720,13.19772,0.1742725258605274
Klay Thompson,35,SF,DAL,69,1497,0.5,0.2,16666667,16.666667,0.02999999940000001
Ryan Kalkbrenner,24,C,CHO,69,1479,5.7,1.4,2296274,2.296274,2.4822821666752315
Keon Ellis,26,SG,2TM,72,1478,2.2,0.6,2301587,2.301587,0.9558621942164255
Ja'Kobe Walter,21,SG,TOR,72,1474,3.7,0.6,3638160,3.63816,1.016997603184027
Patrick Williams,24,PF,CHI,72,1474,-0.1,-0.9,18000000,18,-0.005555555555555556
Ajay Mitchell,23,SG,OKC,57,1473,4.8,1.4,3000000,3,1.5999999999999999
Shaedon Sharpe,22,SG,POR,50,1471,1.3,0.2,8399983,8.399983,0.1547622179711554
Bilal Coulibaly,21,SG,WAS,56,1468,1,-0.1,7275600,7.2756,0.13744570894496674
Grayson Allen,30,SG,PHO,51,1467,3.9,1.5,16875000,16.875,0.2311111111111111
Brandon Williams,26,PG,DAL,66,1463,2.5,0.9,2270735,2.270735,1.1009651060119299
Daniss Jenkins,24,PG,DET,72,1455,2.9,0.5,3809524,3.809524,0.7612499619375018
Jaren Jackson Jr.,26,C,2TM,48,1454,1.4,0.5,35000000,35,0.04
Javonte Green,32,SG,DET,82,1446,4.7,1.5,2296274,2.296274,2.0467940672585243
Ivica Zubac,28,C,2TM,48,1446,4.2,0.6,18893980,18.89398,0.22229302666775344
Tre Johnson,19,SG,WAS,60,1443,-0.7,-1.1,8237640,8.23764,-0.08497579403809828
Lauri Markkanen,28,PF,UTA,42,1443,3.5,1.6,46394100,46.3941,0.07544062714871072
Khris Middleton,34,SF,2TM,63,1439,0.3,-0.9,33296296,33.296296,0.009010011203648598
Sidy Cissoko,21,SF,POR,75,1435,1.3,-0.7,686243,0.686243,1.8943726930547924
Luke Kornet,30,C,SAS,68,1430,6.9,2,11000000,11,0.6272727272727273
Baylor Scheierman,25,SG,BOS,77,1429,3.8,0.9,2619000,2.619,1.4509354715540281
Spencer Jones,24,SF,DEN,64,1417,2.6,-0.1,623967,0.623967,4.166887030884646
Mark Williams,24,C,PHO,60,1416,6.3,1.4,6276531,6.276531,1.0037391673840215
Aaron Wiggins,27,SG,OKC,65,1414,2.1,0.4,10102803,10.102803,0.2078631049224656
Walter Clayton,22,PG,2TM,69,1410,0.3,-0.8,3991320,3.99132,0.07516310393554013
Christian Braun,24,SG,DEN,44,1399,3,0.3,4921797,4.921797,0.6095334691780259
Gui Santos,23,PF,GSW,68,1395,2.7,0.5,2221677,2.221677,1.2152981734068453
Vít Krejčí,25,PG,2TM,65,1392,2.9,0.1,2349578,2.349578,1.2342641955278777
Kyshawn George,22,SF,WAS,48,1391,0.6,0.3,2966760,2.96676,0.20224082837843305
Ben Sheppard,24,SG,IND,65,1390,1.4,-0.4,2790720,2.79072,0.5016626533654397
Justin Champagnie,24,SF,WAS,69,1377,3.1,0.6,2349578,2.349578,1.3193858641849727
Will Richard,23,SG,GSW,69,1377,2.5,0.1,1272870,1.27287,1.9640654583735968
Gary Trent Jr.,27,SG,MIL,65,1377,-0.1,-1.2,3697105,3.697105,-0.0270481904084412
Sam Merrill,29,SG,CLE,52,1377,3.7,0.7,8482144,8.482144,0.43621046754216863
Anfernee Simons,26,SG,2TM,55,1372,2.9,0.7,27678571,27.678571,0.1047741951706972
Jose Alvarado,27,PG,2TM,69,1370,2.2,0.3,4500000,4.5,0.48888888888888893
Malik Monk,27,SG,SAC,62,1364,1,0.2,18797619,18.797619,0.053198226860540154
Ryan Dunn,23,SF,PHO,70,1355,2.6,0.4,2657760,2.65776,0.9782674131599542
Josh Okogie,27,SG,HOU,78,1354,2.7,0.3,2296274,2.296274,1.1758178684251097
Kobe Sanders,23,SG,LAC,68,1351,1.4,-0.3,475497,0.475497,2.9442877662740248
Derrick Jones Jr.,28,SF,LAC,50,1350,2.8,0.5,10000000,10,0.27999999999999997
Darius Garland,26,PG,2TM,45,1344,2.6,0.6,39446090,39.44609,0.06591274318950244
Aaron Nesmith,26,SF,IND,45,1335,0.7,-0.5,11000000,11,0.06363636363636363
Kris Murray,25,SF,POR,57,1333,2.2,0.2,3132000,3.132,0.7024265644955301
Stephen Curry,37,PG,GSW,43,1329,4.1,2.5,59606817,59.606817,0.06878407884118355
Jordan Miller,26,SF,LAC,60,1325,3.5,0.8,712637,0.712637,4.911336346555119
Drake Powell,20,SG,BRK,63,1320,-0.1,-1.3,3372240,3.37224,-0.0296538799136479
Jericho Sims,27,C,MIL,67,1318,3.2,-0.4,2461463,2.461463,1.3000398543467848
Dean Wade,29,PF,CLE,59,1318,3.1,0.7,6623456,6.623456,0.4680336066246987
Isaiah Stewart,24,C,DET,58,1317,4.1,0.7,15000000,15,0.2733333333333333
Egor Dëmin,19,PG,BRK,52,1308,0.9,0.1,6889200,6.8892,0.1306392614527086
Alex Sarr,20,C,WAS,48,1305,1.6,0.9,11808240,11.80824,0.13549860097694494
Yves Missi,21,C,NOP,66,1297,2.7,0.1,3353040,3.35304,0.8052394245222246
Nicolas Batum,37,PF,LAC,74,1295,1.8,0.3,5601600,5.6016,0.3213367609254499
Ziaire Williams,24,SF,BRK,56,1281,1.6,0.1,6250000,6.25,0.256
Jordan Clarkson,33,SG,NYK,72,1279,1.9,-0.4,10651561,10.651561,0.17837761056806603
Jaylin Williams,23,PF,OKC,65,1277,4.1,1.5,8450704,8.450704,0.48516667960444476
Kevin Porter Jr.,25,PG,MIL,38,1261,2.8,1.3,5134000,5.134,0.5453837164004675
Coby White,25,SG,2TM,50,1249,2,0.2,12888889,12.888889,0.15517241245541022
Collin Murray-Boyles,20,PF,TOR,57,1246,4,1,6332520,6.33252,0.6316600658189789
Nolan Traoré,19,PG,BRK,56,1243,-1.6,-1.5,3811560,3.81156,-0.4197756299258047
Adem Bona,22,C,PHI,71,1234,2.9,-0.3,1955377,1.955377,1.483089961680024
Andre Drummond,32,C,PHI,63,1231,3.4,0.4,5000000,5,0.6799999999999999
Pat Spencer,29,PG,GSW,66,1229,1.4,-0.1,857804,0.857804,1.6320744598999304
Zach LaVine,30,SG,SAC,39,1224,1.3,0.2,47499660,47.49966,0.027368616954310834
Jordan Walsh,21,PF,BOS,68,1212,3.8,0.7,2221677,2.221677,1.710419651461486
Jaxson Hayes,25,C,LAL,66,1207,5,1,3449323,3.449323,1.4495598121718378
Joel Embiid,31,C,PHI,38,1201,4.1,2.1,55224526,55.224526,0.07424237557059339
Marvin Bagley III,26,PF,2TM,60,1201,3.8,0.8,2296274,2.296274,1.6548547777834874
Santi Aldama,25,PF,MEM,43,1198,2.3,1.1,18485916,18.485916,0.12441904420641098
Daniel Gafford,27,C,DAL,55,1195,4.1,0.8,14386320,14.38632,0.2849929655394847
Danny Wolf,21,PF,BRK,57,1187,0.8,-0.2,2801280,2.80128,0.28558373315055974
Jimmy Butler,36,SF,GSW,38,1182,5.7,2.3,54126450,54.12645,0.10530895708105742
Mouhamed Gueye,23,PF,ATL,77,1179,2.7,0.2,2221677,2.221677,1.2152981734068453
GG Jackson II,21,PF,MEM,55,1178,1.3,0.2,2221677,2.221677,0.5851435649736663
Bones Hyland,25,PG,MIN,71,1177,3.1,1.1,2296274,2.296274,1.3500131081917925
De'Andre Hunter,28,SF,2TM,45,1176,1.1,-0.6,23303571,23.303571,0.047203066002201984
Mitchell Robinson,27,C,NYK,60,1175,5.8,1.6,12954546,12.954546,0.4477192793942759
Simone Fontecchio,30,SF,MIA,70,1173,2.6,0.7,8307692,8.307692,0.31296297455418426
Ryan Nembhard,22,PG,DAL,60,1171,0.8,-0.6,321875,0.321875,2.4854368932038833
Landry Shamet,28,SG,NYK,51,1171,2.6,0.5,2296274,2.296274,1.132269058483439
Day'Ron Sharpe,24,C,BRK,62,1160,3.5,1,6250000,6.25,0.56
Jared McCain,21,SG,2TM,67,1160,1.5,-0.1,4221360,4.22136,0.3553357211893797
Quinten Post,25,PF,GSW,67,1159,1.9,0.3,1955377,1.955377,0.9716796300662225
Svi Mykhailiuk,28,SF,UTA,50,1156,1.1,0.1,3675000,3.675,0.2993197278911565
Caris LeVert,31,SG,DET,60,1154,1.6,0.5,14104000,14.104,0.11344299489506524
Jakob Poeltl,30,C,TOR,46,1149,4.3,1,19500000,19.5,0.2205128205128205
Craig Porter Jr.,25,PG,CLE,64,1148,2.8,1.2,2221677,2.221677,1.260309216866358
Gary Payton II,33,SG,GSW,73,1142,3.5,1.1,2296274,2.296274,1.5242083479584754
Dru Smith,28,SG,MIA,70,1141,3,1.2,2378870,2.37887,1.261102960649384
Isaiah Hartenstein,27,C,OKC,47,1137,5.3,1.8,28500000,28.5,0.18596491228070175
Paul George,35,PF,PHI,37,1135,2.5,1.1,51666090,51.66609,0.04838763684265637
Jarred Vanderbilt,26,PF,LAL,65,1128,1.8,0.1,11571429,11.571429,0.15555554979423888
De'Anthony Melton,27,PG,GSW,49,1125,0.7,-0.1,3080921,3.080921,0.22720478713994938
Luka Garza,27,C,BOS,69,1118,5.3,1.2,2461463,2.461463,2.153191008761862
Taylor Hendricks,22,PF,2TM,59,1118,1.1,-0.1,6127080,6.12708,0.17953086951696404
John Konchar,29,SG,2TM,56,1115,2.4,0.8,6165000,6.165,0.389294403892944
Ousmane Dieng,22,C,2TM,57,1099,0.3,-0.5,6670882,6.670882,0.04497156447977944
Jalen Smith,25,C,CHI,53,1095,2.6,0.4,9000000,9,0.2888888888888889
Kentavious Caldwell-Pope,32,SG,MEM,51,1088,0.7,-0.1,21621500,21.6215,0.032375182110399366
Hugo González,19,SF,BOS,74,1084,2.2,0.1,2783880,2.78388,0.7902639481586851
Jusuf Nurkić,31,C,UTA,41,1083,1.5,0.9,19375000,19.375,0.07741935483870968
Miles McBride,25,SG,NYK,41,1080,2.7,0.9,4333333,4.333333,0.623076971005921
Corey Kispert,26,SF,2TM,58,1080,1.8,0,13975000,13.975,0.12880143112701253
Rayan Rupert,21,SG,2TM,64,1072,0.6,-0.8,2221677,2.221677,0.27006626075707674
Gradey Dick,22,SG,TOR,76,1067,1.4,-0.4,4990560,4.99056,0.2805296399602449
Giannis Antetokounmpo,31,PF,MIL,36,1039,5,3,54126450,54.12645,0.09237627814127844
Tyler Herro,26,SG,MIA,33,1033,2.4,1.1,31000000,31,0.07741935483870968
Jamir Watkins,24,SG,WAS,50,1032,1.1,-0.3,1131970,1.13197,0.9717572020459908
Alex Caruso,31,SG,OKC,56,1020,2.5,1,18102000,18.102,0.13810628659816596
Franz Wagner,24,SF,ORL,34,1019,2.8,1.2,38661750,38.66175,0.0724230020627623
Robert Williams,28,C,POR,59,1008,4.5,1.7,13285713,13.285713,0.3387097101977139
Guerschon Yabusele,30,C,2TM,67,1007,1.4,-0.1,5500000,5.5,0.2545454545454545
Aaron Gordon,30,PF,DEN,36,1005,3.2,0.9,22841455,22.841455,0.14009615411977916
Nae'Qwan Tomlin,25,PF,CLE,64,1004,2.2,0,718150,0.71815,3.0634268606837014
